Pros,0_Original,1_Lower_Punct,2_StopWords,3_Lemmatization,4_Tokens,5_PoS_Tags,VADER_Sentiment
Colleagues cared deeply about their job,Colleagues cared deeply about their job,colleagues cared deeply about their job,colleagues cared deeply job,colleague cared deeply job,"['colleague', 'cared', 'deeply', 'job']","[('colleague', 'NN'), ('cared', 'VBD'), ('deeply', 'RB'), ('job', 'NN')]",Positive
great work environment and increased formality in the working system.,great work environment and increased formality in the working system.,great work environment and increased formality in the working system,great work environment increased formality working system,great work environment increased formality working system,"['great', 'work', 'environment', 'increased', 'formality', 'working', 'system']","[('great', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('increased', 'VBD'), ('formality', 'NN'), ('working', 'VBG'), ('system', 'NN')]",Positive
"Clear work requirements, and short working hours","Clear work requirements, and short working hours",clear work requirements and short working hours,clear work requirements short working hours,clear work requirement short working hour,"['clear', 'work', 'requirement', 'short', 'working', 'hour']","[('clear', 'JJ'), ('work', 'NN'), ('requirement', 'NN'), ('short', 'JJ'), ('working', 'VBG'), ('hour', 'NN')]",Positive
"Good salary package, balance work life","Good salary package, balance work life",good salary package balance work life,good salary package balance work life,good salary package balance work life,"['good', 'salary', 'package', 'balance', 'work', 'life']","[('good', 'JJ'), ('salary', 'JJ'), ('package', 'NN'), ('balance', 'NN'), ('work', 'NN'), ('life', 'NN')]",Positive
Good environment to work in,Good environment to work in,good environment to work in,good environment work,good environment work,"['good', 'environment', 'work']","[('good', 'JJ'), ('environment', 'NN'), ('work', 'NN')]",Positive
good environment of working with people,good environment of working with people,good environment of working with people,good environment working people,good environment working people,"['good', 'environment', 'working', 'people']","[('good', 'JJ'), ('environment', 'NN'), ('working', 'VBG'), ('people', 'NNS')]",Positive
best for all kinds of people,best for all kinds of people,best for all kinds of people,best kinds people,best kind people,"['best', 'kind', 'people']","[('best', 'JJS'), ('kind', 'NN'), ('people', 'NNS')]",Positive
"High Stability where 99% you will not leave ubless they tell you that you are coming for one project only .

Good environment to learn &amp; to meet experienced people in every technical and business department. 

Good work life balance as you will not get much stress and after business hours you will get 90% chilling time .

Many free courses online ans in academies to grow .","High Stability where 99% you will not leave ubless they tell you that you are coming for one project only .

Good environment to learn &amp; to meet experienced people in every technical and business department. 

Good work life balance as you will not get much stress and after business hours you will get 90% chilling time .

Many free courses online ans in academies to grow .","high stability where 99 you will not leave ubless they tell you that you are coming for one project only 

good environment to learn amp to meet experienced people in every technical and business department 

good work life balance as you will not get much stress and after business hours you will get 90 chilling time 

many free courses online ans in academies to grow ",high stability 99 leave ubless tell coming one project good environment learn amp meet experienced people every technical business department good work life balance get much stress business hours get 90 chilling time many free courses online ans academies grow,high stability 99 leave ubless tell coming one project good environment learn amp meet experienced people every technical business department good work life balance get much stress business hour get 90 chilling time many free course online an academy grow,"['high', 'stability', '99', 'leave', 'ubless', 'tell', 'coming', 'one', 'project', 'good', 'environment', 'learn', 'amp', 'meet', 'experienced', 'people', 'every', 'technical', 'business', 'department', 'good', 'work', 'life', 'balance', 'get', 'much', 'stress', 'business', 'hour', 'get', '90', 'chilling', 'time', 'many', 'free', 'course', 'online', 'an', 'academy', 'grow']","[('high', 'JJ'), ('stability', 'NN'), ('99', 'CD'), ('leave', 'JJ'), ('ubless', 'JJ'), ('tell', 'NN'), ('coming', 'VBG'), ('one', 'CD'), ('project', 'NN'), ('good', 'JJ'), ('environment', 'NN'), ('learn', 'NN'), ('amp', 'IN'), ('meet', 'NN'), ('experienced', 'JJ'), ('people', 'NNS'), ('every', 'DT'), ('technical', 'JJ'), ('business', 'NN'), ('department', 'NN'), ('good', 'JJ'), ('work', 'NN'), ('life', 'NN'), ('balance', 'NN'), ('get', 'VB'), ('much', 'JJ'), ('stress', 'NN'), ('business', 'NN'), ('hour', 'NN'), ('get', 'VBP'), ('90', 'CD'), ('chilling', 'JJ'), ('time', 'NN'), ('many', 'JJ'), ('free', 'JJ'), ('course', 'NN'), ('online', 'VBP'), ('an', 'DT'), ('academy', 'NN'), ('grow', 'NN')]",Positive
Company provides all the good facilities to their Staff,Company provides all the good facilities to their Staff,company provides all the good facilities to their staff,company provides good facilities staff,company provides good facility staff,"['company', 'provides', 'good', 'facility', 'staff']","[('company', 'NN'), ('provides', 'VBZ'), ('good', 'JJ'), ('facility', 'NN'), ('staff', 'NN')]",Positive
You will learn alot for your new ventures.,You will learn alot for your new ventures.,you will learn alot for your new ventures,learn alot new ventures,learn alot new venture,"['learn', 'alot', 'new', 'venture']","[('learn', 'NN'), ('alot', 'NN'), ('new', 'JJ'), ('venture', 'NN')]",Neutral
Good bank with good technologies,Good bank with good technologies,good bank with good technologies,good bank good technologies,good bank good technology,"['good', 'bank', 'good', 'technology']","[('good', 'JJ'), ('bank', 'NN'), ('good', 'JJ'), ('technology', 'NN')]",Positive
One of the big Islamic banks in UAE and the region.,One of the big Islamic banks in UAE and the region.,one of the big islamic banks in uae and the region,one big islamic banks uae region,one big islamic bank uae region,"['one', 'big', 'islamic', 'bank', 'uae', 'region']","[('one', 'CD'), ('big', 'JJ'), ('islamic', 'JJ'), ('bank', 'NN'), ('uae', 'JJ'), ('region', 'NN')]",Neutral
it good company to work,it good company to work,it good company to work,good company work,good company work,"['good', 'company', 'work']","[('good', 'JJ'), ('company', 'NN'), ('work', 'NN')]",Positive
Literally zero pros for this place,Literally zero pros for this place,literally zero pros for this place,literally zero pros place,literally zero pro place,"['literally', 'zero', 'pro', 'place']","[('literally', 'RB'), ('zero', 'CD'), ('pro', 'JJ'), ('place', 'NN')]",Neutral
"Islamic banking , incentive , Less Pressure ,working hours , flexible","Islamic banking , incentive , Less Pressure ,working hours , flexible",islamic banking  incentive  less pressure working hours  flexible,islamic banking incentive less pressure working hours flexible,islamic banking incentive less pressure working hour flexible,"['islamic', 'banking', 'incentive', 'less', 'pressure', 'working', 'hour', 'flexible']","[('islamic', 'JJ'), ('banking', 'NN'), ('incentive', 'NN'), ('less', 'JJR'), ('pressure', 'NN'), ('working', 'VBG'), ('hour', 'NN'), ('flexible', 'JJ')]",Positive
"Good environment, best nature to work","Good environment, best nature to work",good environment best nature to work,good environment best nature work,good environment best nature work,"['good', 'environment', 'best', 'nature', 'work']","[('good', 'JJ'), ('environment', 'NN'), ('best', 'JJS'), ('nature', 'NN'), ('work', 'NN')]",Positive
Very Bad bank in uae,Very Bad bank in uae,very bad bank in uae,bad bank uae,bad bank uae,"['bad', 'bank', 'uae']","[('bad', 'JJ'), ('bank', 'NN'), ('uae', 'NN')]",Negative
"Good salaries 

Good experience 

Modern environment","Good salaries 

Good experience 

Modern environment","good salaries 

good experience 

modern environment",good salaries good experience modern environment,good salary good experience modern environment,"['good', 'salary', 'good', 'experience', 'modern', 'environment']","[('good', 'JJ'), ('salary', 'JJ'), ('good', 'JJ'), ('experience', 'NN'), ('modern', 'JJ'), ('environment', 'NN')]",Positive
very diverted environment and equal,very diverted environment and equal,very diverted environment and equal,diverted environment equal,diverted environment equal,"['diverted', 'environment', 'equal']","[('diverted', 'VBN'), ('environment', 'NN'), ('equal', 'JJ')]",Neutral
Leading UAE Islamic Bank stable balancesheet,Leading UAE Islamic Bank stable balancesheet,leading uae islamic bank stable balancesheet,leading uae islamic bank stable balancesheet,leading uae islamic bank stable balancesheet,"['leading', 'uae', 'islamic', 'bank', 'stable', 'balancesheet']","[('leading', 'VBG'), ('uae', 'JJ'), ('islamic', 'JJ'), ('bank', 'NN'), ('stable', 'JJ'), ('balancesheet', 'NN')]",Positive
"Large Bank - a lot of branches in the middle-east, growing fast across various countries also, potential to grow as the bank grows.","Large Bank - a lot of branches in the middle-east, growing fast across various countries also, potential to grow as the bank grows.",large bank  a lot of branches in the middleeast growing fast across various countries also potential to grow as the bank grows,large bank lot branches middleeast growing fast across various countries also potential grow bank grows,large bank lot branch middleeast growing fast across various country also potential grow bank grows,"['large', 'bank', 'lot', 'branch', 'middleeast', 'growing', 'fast', 'across', 'various', 'country', 'also', 'potential', 'grow', 'bank', 'grows']","[('large', 'JJ'), ('bank', 'NN'), ('lot', 'NN'), ('branch', 'IN'), ('middleeast', 'FW'), ('growing', 'VBG'), ('fast', 'RB'), ('across', 'IN'), ('various', 'JJ'), ('country', 'NN'), ('also', 'RB'), ('potential', 'JJ'), ('grow', 'NN'), ('bank', 'NN'), ('grows', 'NNS')]",Positive
good environment with a helpful colleagues,good environment with a helpful colleagues,good environment with a helpful colleagues,good environment helpful colleagues,good environment helpful colleague,"['good', 'environment', 'helpful', 'colleague']","[('good', 'JJ'), ('environment', 'NN'), ('helpful', 'NN'), ('colleague', 'NN')]",Positive
"The staff there are great, they are polite, quirky and know their stuff","The staff there are great, they are polite, quirky and know their stuff",the staff there are great they are polite quirky and know their stuff,staff great polite quirky know stuff,staff great polite quirky know stuff,"['staff', 'great', 'polite', 'quirky', 'know', 'stuff']","[('staff', 'NN'), ('great', 'JJ'), ('polite', 'JJ'), ('quirky', 'NN'), ('know', 'VBP'), ('stuff', 'NN')]",Positive
Best of all the way,Best of all the way,best of all the way,best way,best way,"['best', 'way']","[('best', 'JJS'), ('way', 'NN')]",Positive
"great, so much great bro","great, so much great bro",great so much great bro,great much great bro,great much great bro,"['great', 'much', 'great', 'bro']","[('great', 'JJ'), ('much', 'JJ'), ('great', 'JJ'), ('bro', 'NN')]",Positive
Good opportunity to start your career,Good opportunity to start your career,good opportunity to start your career,good opportunity start career,good opportunity start career,"['good', 'opportunity', 'start', 'career']","[('good', 'JJ'), ('opportunity', 'NN'), ('start', 'VBP'), ('career', 'NN')]",Positive
